X,Y,FID,OBJECTID,OGF_ID,MOH_SERVIC,SERVICE_TY,SERVICE__1,ENGLISH_NA,FRENCH_NAM,ENGLISH__1,FRENCH_N_1,ADDRESS_LI,ADDRESS__1,ADDRESS_DE,COMMUNITY,POSTAL_COD,GEOMETRY_U,EFFECTIVE_
-9679057.47982703,6398664.39897228,1,1001,1001,3107,Mental Health and Addiction Organization,Mental Health Services,People Advocating for Change Through Empowerment (P.A.C.E.) Inc., , , ,301 Main Street, ,Practice Location,Geraldton,P0T1M0,,2023/03/28 00:00:00+00
-9553960.94413784,6296550.17853675,2,1002,1002,3108,Mental Health and Addiction Organization,Mental Health Services,People Advocating for Change Through Empowerment (P.A.C.E.) Inc., , , ,1 Healthcare Crescent,Manitouwadge Health Care Centre,Practice Location,Manitouwadge,P0T2C0,,2023/03/28 00:00:00+00
-9714559.97050463,6242357.09394357,3,1003,1003,3109,Mental Health and Addiction Organization,Mental Health Services,People Advocating for Change Through Empowerment (P.A.C.E.) Inc., , , ,313 Scotia Street, ,Practice Location,Schreiber,P0T2S0,,2023/03/28 00:00:00+00
-9825423.44100387,6276985.27937629,4,1004,1004,30708,Mental Health and Addiction Organization,Mental Health Services,People Advocating for Change Through Empowerment (P.A.C.E.) Inc., , , ,510 Victoria Avenue East, ,Practice Location,Nipigon,P7C1A7,,2023/03/28 00:00:00+00
-8838229.58415081,5412415.61157705,5,1005,1005,3106,Mental Health and Addiction Organization,Mental Health Services,Eden Community Homes, , , ,196 Beverley Street, ,Administrative Office,Toronto,M5T1Z1,,2023/03/28 00:00:00+00
-8806398.10971695,5327797.12192524,6,1006,1006,3123,Mental Health and Addiction Organization,Mental Health Services,Canadian Mental Health Association (CMHA) Niagara Branch, , , ,6760 Morrison Street,Suite 2,Practice Location,Niagara Falls,L2E6Z8,,2023/03/28 00:00:00+00
-8784805.93562964,5301322.73917365,7,1007,1007,4414,Mental Health and Addiction Organization,Mental Health Services,Canadian Mental Health Association (CMHA) Niagara Branch, , , ,20 Jarvis Street, ,Practice Location,Fort Erie,L2A2S3,,2023/03/28 00:00:00+00
-8820201.71544337,5337546.38196142,8,1008,1008,30474,Mental Health and Addiction Organization,Mental Health Services,Canadian Mental Health Association (CMHA) Niagara Branch, , , ,264 Welland Avenue,Suite 103,Administration and Practice Location,St. Catharines,L2R2P8,,2023/03/28 00:00:00+00
-8822148.61541369,5308710.58149458,9,1009,1009,30744,Mental Health and Addiction Organization,Mental Health Services,Canadian Mental Health Association (CMHA) Niagara Branch, , , ,570 King Street, ,Practice Location,Welland,L3B3L2,,2023/03/28 00:00:00+00
-8838884.62143048,5413975.06156686,10,1010,1010,3126,Mental Health and Addiction Organization,Mental Health Services,Sinai Health System, , , ,407 Huron Street, ,Practice Location,Toronto,M5S2G5,,2023/03/28 00:00:00+00
-8837653.57257765,5412595.0032482,11,1011,1011,7750,Mental Health and Addiction Organization,Mental Health Services,Sinai Health System, , , ,600 University Avenue,9th Floor,Administrative Office,Toronto,M5G1X5,,2023/03/28 00:00:00+00
-8826771.6359427,5436632.15660148,12,1012,1012,8112,Mental Health and Addiction Organization,Mental Health Services,Sinai Health System, , , ,3660 Midland Avenue,Suite 103,Practice Location,Toronto,M1V0B8,,2023/03/28 00:00:00+00
-8837857.52101673,5412639.60936871,13,1013,1013,13317,Mental Health and Addiction Organization,Mental Health Services,Sinai Health System, , , ,60 Murray Street,"Joseph and Wolf Lebovic Health Complex, L1-012",Practice Location,Toronto,M5T3L9,,2023/03/28 00:00:00+00
-8820182.65754654,5431049.19680108,14,1014,1014,3130,Mental Health and Addiction Organization,Mental Health Services,Canadian Mental Health Association (CMHA) Toronto Branch, , , ,1200 Markham Road,Suite 500,Practice Location,Toronto,M1H3C3,,2023/03/28 00:00:00+00
-8843931.65789992,5421657.48443246,15,1015,1015,3132,Mental Health and Addiction Organization,Mental Health Services,Canadian Mental Health Association (CMHA) Toronto Branch, , , ,700 Lawrence Avenue West,"Suite 480, Lawrence Square",Administration and Practice Location,Toronto,M6A3B4,,2023/03/28 00:00:00+00
-8844714.71259401,5419301.77208559,16,1016,1016,3133,Mental Health and Addiction Organization,Mental Health Services,Canadian Mental Health Association (CMHA) Toronto Branch, , , ,2700 Dufferin Street,Suite 90,Practice Location,Toronto,M6B4J3,,2023/03/28 00:00:00+00
-8846620.30190131,5423764.41362072,17,1017,1017,14312,Mental Health and Addiction Organization,Mental Health Services,Canadian Mental Health Association (CMHA) Toronto Branch, , , ,940 Wilson Avenue, ,Practice Location,Toronto,M3K1E7,,2023/03/28 00:00:00+00
-8844617.18558812,5412355.20480449,18,1018,1018,21779,Mental Health and Addiction Organization,Mental Health Services,Canadian Mental Health Association (CMHA) Toronto Branch, , , ,2333 Dundas Street West,Suite 501,Practice Location,Toronto,M6R3A6,,2023/03/28 00:00:00+00
-8819500.35812357,5425412.5289426,19,1019,1019,23331,Mental Health and Addiction Organization,Mental Health Services,Canadian Mental Health Association (CMHA) Toronto Branch, , , ,140 Adanac Drive,Suite 108,Practice Location,Toronto,M1M2E8,,2023/03/28 00:00:00+00
-8844717.1616228,5412049.3458054,20,1020,1020,30596,Mental Health and Addiction Organization,Mental Health Services,Canadian Mental Health Association (CMHA) Toronto Branch, , , ,7 Radford Avenue, ,Practice Location,Toronto,M6R1Z5,,2023/03/28 00:00:00+00
-8835652.56020284,5413330.05464524,21,1021,1021,3140,Mental Health and Addiction Organization,Mental Health Services,Sherbourne Health Centre, , , ,333 Sherbourne Street, ,Administration and Practice Location,Toronto,M5A2S5,,2023/03/28 00:00:00+00
-8959937.09813034,5381811.26384972,22,1022,1022,3147,Mental Health and Addiction Organization,Addiction Services and Mental Health Services,Thresholds Homes and Supports Inc., , , ,236 Victoria Street North, ,Administration and Practice Location,Kitchener,N2H5C8,,2023/03/28 00:00:00+00
-8845644.30826577,5463601.23330392,23,1023,1023,3152,Mental Health and Addiction Organization,Mental Health Services,York Support Services Network, , , ,240 Edward Street,Suite 3,Administration and Practice Location,Aurora,L4G3S9,,2023/03/28 00:00:00+00
-8834160.27790096,5442999.42086242,24,1024,1024,3154,Mental Health and Addiction Organization,Mental Health Services,York Support Services Network, , , ,50 McIntosh Drive,Suite 239,Practice Location,Markham,L3R9T3,,2023/03/28 00:00:00+00
