,"Population and dwelling counts (13)","Population, 2021","Population, 2016","Population percentage change, 2016 to 2021","Total private dwellings, 2021","Total private dwellings, 2016","Total private dwellings percentage change, 2016 to 2021","Private dwellings occupied by usual residents, 2021","Private dwellings occupied by usual residents, 2016","Private dwellings occupied by usual residents percentage change, 2016 to 2021","Land area in square kilometres, 2021","Population density per square kilometre, 2021","National population rank, 2021","Province/territory population rank, 2021"
"Geographic name","Geographic area type abbreviation"
"Canada 2","Country","36,991,981","35,151,728","5.2","16,284,235","15,412,443","5.7","14,978,941","14,072,079","6.4","8,788,702.80","4.2","...","..."
"Ontario 2","PR","14,223,942","13,448,494","5.8","5,929,250","5,598,391","5.9","5,491,201","5,169,174","6.2","892,411.76","15.9","...","..."
"Algoma, Unorganized, North Part","NO","6,050","5,739","5.4","5,019","5,489","-8.6","2,773","2,546","8.9","43,618.95","0.1","645","214"
"Algoma, Unorganized, South East Part","NO","5","0","...","1","4","-75.0","1","1","0.0","43.17","0.1","4,760","548"
"Blind River","T","3,422","3,472","-1.4","2,207","2,219","-0.5","1,600","1,587","0.8","513.98","6.7","947","264"
"Bruce Mines","T","582","582","0.0","293","299","-2.0","263","268","-1.9","6.09","95.6","2,747","412"
"Dubreuilville","TP","576","613","-6.0","284","310","-8.4","248","248","0.0","87.53","6.6","2,766","416"
"Elliot Lake","CY","11,372","10,741","5.9","6,275","6,259","0.3","5,839","5,514","5.9","696.06","16.3","378","133"
"Garden River 14","IRI","1,071","1,125","-4.8","458","438","4.6","419","411","1.9","213.71","5.0","2,029","349"
"Goulais Bay 15A 3","IRI","..","..","..","..","..","..","..","..","..","6.71","..","..",".."
"Gros Cap 49","IRI","63","77","-18.2","38","38","0.0","35","37","-5.4","34.12","1.8","4,443","534"
"Hilton","TP","382","307","24.4","335","317","5.7","162","136","19.1","114.77","3.3","3,237","450"
"Hilton Beach","VL","198","171","15.8","134","128","4.7","98","88","11.4","2.52","78.6","3,871","495"
"Hornepayne","TP","968","980","-1.2","515","514","0.2","439","408","7.6","203.04","4.8","2,147","365"
"Huron Shores","MU","1,860","1,664","11.8","1,171","1,253","-6.5","834","746","11.8","451.87","4.1","1,437","313"
"Jocelyn","TP","314","313","0.3","360","340","5.9","175","157","11.5","130.43","2.4","3,462","466"
"Johnson","TP","749","751","-0.3","422","521","-19.0","272","280","-2.9","119.47","6.3","2,441","388"
"Laird","TP","1,121","1,047","7.1","560","527","6.3","470","425","10.6","103.25","10.9","1,977","344"
"Macdonald, Meredith and Aberdeen Additional","TP","1,513","1,609","-6.0","803","860","-6.6","603","657","-8.2","163.26","9.3","1,658","324"
"Mississagi River 8","IRI","414","411","0.7","176","185","-4.9","173","178","-2.8","18.26","22.7","3,128","441"
"Obadjiwan 15E 3 4","IRI","..","0r","..","..","0r","..","..","0r","..","0.71","..","..",".."
"Plummer Additional","TP","757","660","14.7","519","515","0.8","328","282","16.3","219.24","3.5","2,430","384"
"Prince","TP","975","1,010","-3.5","462","459","0.7","394","403","-2.2","84.98","11.5","2,139","362"
"Rankin Location 15D 3","IRI","..","..","..","..","..","..","..","..","..","15.39","..","..",".."
"Sagamok","IRI","1,110","1,140","-2.6","408","401","1.7","385","383","0.5","96.83","11.5","1,987","345"
"Sault Ste. Marie","CY","72,051","73,368","-1.8","34,818","34,485","1.0","32,530","32,634","-0.3","221.99","324.6","82","35"
"Serpent River 7","IRI","351","371","-5.4","151","157","-3.8","145","140","3.6","76.14","4.6","3,339","460"
"Spanish","T","670","712","-5.9","392","437","-10.3","322","335","-3.9","106.90","6.3","2,589","399"
"St. Joseph","TP","1,426","1,240","15.0","909","853","6.6","612","550","11.3","127.65","11.2","1,714","330"
"Tarbutt and Tarbutt Additional","TP","573","534","7.3","398","400","-0.5","239","216","10.6","52.79","10.9","2,773","417"
"The North Shore","TP","531","497","6.8","365","367","-0.5","249","238","4.6","230.17","2.3","2,866","422"
"Thessalon","T","1,260","1,286","-2.0","600","624","-3.8","559","564","-0.9","4.38","287.5","1,840","336"
"Thessalon 12","IRI","151","124","21.8","71","63","12.7","59","58","1.7","9.57","15.8","4,053","509"
"Wawa","MU","2,705","2,905","-6.9","1,377","1,451","-5.1","1,213","1,279","-5.2","411.89","6.6","1,130","288"
"White River","TP","557","645","-13.6","333","411","-19.0","270","302","-10.6","95.55","5.8","2,803","418"
"Brant 4","CY","39,474","35,640r","10.8","14,778","13,288r","11.2","14,330","12,925r","10.9","817.66","48.3","130","55"
"Brantford 4","CY","104,688","98,563r","6.2","43,269","41,131r","5.2","41,673","39,605r","5.2","98.65","1,061.2","53","26"
"New Credit (Part) 40A","IRI","609","605","0.7","203","207","-1.9","199","192","3.6","20.10","30.3","2,699","408"
"Six Nations (Part) 40 3","IRI","..","..","..","..","..","..","..","..","..","157.70","..","..",".."
"Arran-Elderslie","MU","6,913","6,803","1.6","2,998","3,030","-1.1","2,782","2,750","1.2","458.76","15.1","588","205"
"Brockton","MU","9,784","9,461","3.4","4,406","4,252","3.6","4,032","3,941","2.3","564.64","17.3","438","154"
"Chief's Point No. 28","IRI","15","0","...","93","55","69.1","7","1","600.0","5.76","2.6","4,694","545"
"Huron-Kinloss","TP","7,723","7,069","9.3","4,107","4,037","1.7","3,026","2,777","9.0","440.73","17.5","530","183"
"Kincardine","MU","12,268","11,389","7.7","6,142","5,883","4.4","5,160","4,855","6.3","537.80","22.8","352","128"
"Neyaashiinigmiing 27","IRI","580","615","-5.7","296","410","-27.8","248","252","-1.6","63.76","9.1","2,750","413"
"Northern Bruce Peninsula","MU","4,404","3,999","10.1","5,101","5,069","0.6","2,206","1,933","14.1","775.70","5.7","798","240"
"Saugeen 29","IRI","784","1,041","-24.7","1,389","1,466","-5.3","318","391","-18.7","41.42","18.9","2,392","381"
"Saugeen Shores","T","15,908","13,715","16.0","8,548","7,655","11.7","6,905","6,025","14.6","170.19","93.5","280","103"
"South Bruce","MU","5,880","5,639","4.3","2,419","2,381","1.6","2,280","2,200","3.6","486.86","12.1","662","220"
"South Bruce Peninsula","T","9,137","8,416","8.6","7,093","6,945","2.1","4,148","3,741","10.9","530.61","17.2","459","164"
"Chatham-Kent","MU","103,988","101,647","2.3","46,752","46,103","1.4","44,028","43,026","2.3","2,451.90","42.4","54","27"
"Moravian 47","IRI","328","395","-17.0","169","184","-8.2","150","148","1.4","12.62","26.0","3,421","465"
"Abitibi 70","IRI","156","144","8.3","76","63","20.6","68","56","21.4","78.23","2.0","4,028","504"
"Black River-Matheson","TP","2,572","2,438","5.5","1,403","1,149","22.1","1,078","1,050","2.7","1,161.89","2.2","1,169","294"
"Cochrane","T","5,390","5,321","1.3","2,540","2,510","1.2","2,316","2,272","1.9","537.90","10.0","695","224"
"Cochrane, Unorganized, North Part","NO","2,546","2,865","-11.1","1,494","1,835","-18.6","1,035","1,167","-11.3","130,291.63","0.0","1,177","295"
"Cochrane, Unorganized, South East Part","NO","25","10","150.0","19","8","137.5","15","5","200.0","53.46","0.5","4,629","541"
