Facility_Name,ENGLISH_NA,COMMUNITY,ADDRESS_LI,POSTAL_COD,Latitude,Longitude
(Don Mills) Insight Diagnostic Imaging,(Don Mills) Insight Diagnostic Imaging,Toronto,658 Danforth Avenue,M4J5B9,-8832603.04067621,5415948.41763492
(Sarnia & District Ctc) Pathways Health Centre for Children,(Sarnia & District Ctc) Pathways Health Centre for Children,Strathroy,1240 Murphy Road,N7G2Y6,-9103082.90926505,5297949.59804868
1 Clinic Rx Pharmacy,1 Clinic Rx Pharmacy,Toronto,16 Yonge Street,M5E2A3,-8836112.66592219,5410399.84501014
101 Medical Pharmacy,101 Medical Pharmacy,Vaughan,1520 Steeles Avenue West,L4K3B9,-8846772.24187429,5432632.98633274
123 Edward Street Diagnostic Imaging Ltd.,123 Edward Street Diagnostic Imaging Ltd.,Toronto,123 Edward Street,M5G1E2,-8837299.35395795,5412305.061021
1355 Bank Street Pharmacy,1355 Bank Street Pharmacy,Ottawa,1355 Bank Street,K1H8K7,-8424108.19873475,5682809.65040274
147 Elder Street Inc.,147 Elder Street Inc.,Toronto,147 Elder Street,M3H5G9,-8844791.40059121,5428822.00890411
16th Avenue Drug Mart,16th Avenue Drug Mart,Markham,1 Mint Leaf Gate,L3P5X4,-8822011.31395375,5449187.01328386
1853805 Ontario Ltd.,1853805 Ontario Ltd.,Peterborough,26 Hospital Drive,K9J7C3,-8721385.95268252,5512176.13195636
1st Place Pharmacy,1st Place Pharmacy,St. Catharines,300 Fourth Avenue,L2S0E6,-8824906.95654826,5335479.54415519
2,2-Spirited People of the 1st Nations,Toronto,145 Front Street East,M5A1E3,-8835355.29263463,5411408.85794949
2387755 Ontario Inc.,2387755 Ontario Inc.,Toronto,1466 Bathurst Street,M5R3S3,-8840808.14430775,5416475.49500364
2458568 Ontario Inc.,2458568 Ontario Inc.,Caledon,19834 Airport Road,L7K0A1,-8902204.42796785,5456974.63713445
2601398 Ontario Inc.,2601398 Ontario Inc.,New Tecumseth,34 Main Street West,L0G1A0,-8881720.12771681,5477657.79026705
2649470 Ontario Inc.,2649470 Ontario Inc.,Toronto,520 Ellesmere Road,M1R0B1,-8827113.58715452,5428843.77316422
2662939 Ontario Inc.,2662939 Ontario Inc.,Peterborough,849 Alexander Court,K9J7H8,-8721292.07695593,5511714.22420783
2727475 Ontario Inc.,2727475 Ontario Inc.,Uxbridge,29 Toronto Street South,L9P1V9,-8807894.12122177,5482132.8124425
2729351 Ontario Inc.,2729351 Ontario Inc.,Welland,565 King Street,L3B3L3,-8822236.22385295,5308694.04202829
2817057 Ontario Inc.,2817057 Ontario Inc.,Kitchener,564 Belmont Avenue West,N2M5N6,-8962938.42744941,5380750.45363529
2858737 Ontario Ltd.,2858737 Ontario Ltd.,Windsor,2464 Howard Avenue,N8X3V6,-9240923.74553822,5204804.51684269
2care Pharmacy,2care Pharmacy,Markham,3028 Bur Oak Avenue,L6B0R1,-8819744.17007231,5447871.44202464
360 Pharmacy,360 Pharmacy,Richmond Hill,360 Highway 7 East,L4B3Y7,-8838461.35133065,5440967.0513289
3m Drug Mart,3m Drug Mart,Vaughan,7117 Bathurst Street,L4J2J6,-8843858.43193888,5433770.44580234
3m Lawrence Pharmacy,3m Lawrence Pharmacy,Toronto,3077 Bathurst Street,M6A1Z9,-8842057.53861267,5422204.68032009
60 Plus Older Adult Programs,60 Plus Older Adult Programs,Niagara Falls,7150 Montrose Road,L2H3N3,-8808091.96935276,5322876.39384328
646 Main Pharmacy,646 Main Pharmacy,Hamilton,646 Main Street East,L8M1J8,-8888272.24822956,5349914.35882292
795292 Ontario Limited,795292 Ontario Limited,Whitby,3800 Brock Street North,L1R3A5,-8789592.74052544,5452005.97330998
9,9-Eleven Drug Mart,Toronto,6018 Yonge Street,M2M3V9,-8840809.09052342,5432851.15300894
99 Pharmacy,99 Pharmacy,Toronto,436 Dundas Street West,M5T1G6,-8838291.3887321,5412001.48076529
9th Line Discount Pharmacy,9th Line Discount Pharmacy,Markham,6884 14th Avenue,L6B1A8,-8819333.59039441,5443945.92720728
A,A-Way Express Courier Service,Toronto,2168 Danforth Avenue,M4C1K3,-8828823.19849827,5417076.49411394
A & B Pharmacy,A & B Pharmacy,Barrie,505 Yonge Street,L4N4E1,-8867202.91952661,5521579.63481162
A & J Pharmacy,A & J Pharmacy,Markham,1 Sun Yat Sen Avenue,L3R5K9,-8827484.78199656,5438667.67404704
A & K Pharmacy,A & K Pharmacy,Kitchener,301 King Street East,N2G2L2,-8959491.80903522,5380266.45337888
A & W Pharmacy,A & W Pharmacy,Toronto,250 Alton Towers Circle,M1V3Z4,-8825126.90159818,5438477.68346675
A Better Way Retirement Home Corp.,A Better Way Retirement Home Corp.,Toronto,22 Purpledusk Trail,M1E4C7,-8817349.38726272,5432022.77004189
A Plus Pharmacy,A Plus Pharmacy,Mississauga,801 Dundas Street,L4Y4G9,-8860832.93996469,5403394.62014747
A&j Pharmacy,A&j Pharmacy,Toronto,2020 McNicoll Avenue,M1V0B5,-8827786.16838594,5436485.43318683
A&w Pharmacy,A&w Pharmacy,Toronto,325 Bamburgh Circle,M1W3Y1,-8830279.61366021,5436763.99523658
A+ Compounding Pharmacy,A+ Compounding Pharmacy,Cobourg,541 William Street,K9A3A4,-8703265.14333221,5459843.40445142
A. Shoughary Medicine Professional Corporation,A. Shoughary Medicine Professional Corporation,Pembroke,700 Mackay Street,K8A1G6,-8583776.98377672,5750721.84743253
AFG Imaging,AFG Imaging,Mississauga,4303 Village Centre Court,L4Z1S2,-8865576.49723832,5403985.48424735
"AIDS Bereavement & Resiliency Program of Ontario, c/o Fife House","AIDS Bereavement & Resiliency Program of Ontario, c/o Fife House",Toronto,490 Sherbourne Street,M4X1K9,-8836016.4079585,5414146.65037891
