ENGLISH_NA,COMMUNITY,ADDRESS_LI,POSTAL_COD,Facility_Name,"Population, 2021",Facilities_Per_Capita
Eden Community Homes,Toronto,196 Beverley Street,M5T1Z1,Eden Community Homes,2794356.0,0.0006098006123772347
Sinai Health System,Toronto,407 Huron Street,M5S2G5,Sinai Health System,2794356.0,0.0006098006123772347
Canadian Mental Health Association (CMHA) Toronto Branch,Toronto,1200 Markham Road,M1H3C3,Canadian Mental Health Association (CMHA) Toronto Branch,2794356.0,0.0006098006123772347
Sherbourne Health Centre,Toronto,333 Sherbourne Street,M5A2S5,Sherbourne Health Centre,2794356.0,0.0006098006123772347
Sound Times Support Services,Toronto,280 Parliament Street,M5A3A4,Sound Times Support Services,2794356.0,0.0006098006123772347
East York Mental Health Counselling Services Agency,Toronto,1245 Danforth Avenue,M4J1M8,East York Mental Health Counselling Services Agency,2794356.0,0.0006098006123772347
Institute for Advancements in Mental Health,Toronto,95 King Street East,M5C1G4,Institute for Advancements in Mental Health,2794356.0,0.0006098006123772347
Trinity Square Cafe,Toronto,10 Trinity Square,M5G1B1,Trinity Square Cafe,2794356.0,0.0006098006123772347
"Parkdale Activity - Recreation Centre (PARC), The",Toronto,1499 Queen Street West,M6R1A3,Parkdale Activity,2794356.0,0.0006098006123772347
Street Health Community Nursing Foundation,Toronto,338 Dundas Street East,M5A2A1,Street Health Community Nursing Foundation,2794356.0,0.0006098006123772347
Gerstein Crisis Centre,Toronto,100 Charles Street East,M4Y1V3,Gerstein Crisis Centre,2794356.0,0.0006098006123772347
Sistering - A Woman's Place,Toronto,962 Bloor Street West,M6H1L6,Sistering,2794356.0,0.0006098006123772347
Central Toronto Youth Services,Toronto,65 Wellesley Street East,M4Y1G7,Central Toronto Youth Services,2794356.0,0.0006098006123772347
West Neighbourhood House,Toronto,588 Queen Street West,M6J1E3,West Neighbourhood House,2794356.0,0.0006098006123772347
Sunnybrook Health Sciences Centre,Toronto,2075 Bayview Avenue,M4N3M5,Sunnybrook Health Sciences Centre,2794356.0,0.0006098006123772347
City of Toronto,Toronto,277 Victoria Street,M5B1W2,City of Toronto,2794356.0,0.0006098006123772347
Massey Centre for Women,Toronto,40 Humewood Drive,M6C2W4,Massey Centre for Women,2794356.0,0.0006098006123772347
Children's Mental Health Ontario,Toronto,180 Dundas Street West,M5G1Z8,Children's Mental Health Ontario,2794356.0,0.0006098006123772347
Pine River Institute,Toronto,180 Dundas Street West,M5G1Z8,Pine River Institute,2794356.0,0.0006098006123772347
Women's College Hospital,Toronto,76 Grenville Street,M5S1B2,Women's College Hospital,2794356.0,0.0006098006123772347
Fred Victor Centre,Toronto,36 Lombard Street,M5C2X3,Fred Victor Centre,2794356.0,0.0006098006123772347
Fife House,Toronto,490 Sherbourne Street,M4X1K9,Fife House,2794356.0,0.0006098006123772347
Senior Persons Living Connected,Toronto,3333 Finch Avenue East,M1W2R9,Senior Persons Living Connected,2794356.0,0.0006098006123772347
Good Shepherd Refuge Social Ministries,Toronto,412 Queen Street East,M5A1T3,Good Shepherd Refuge Social Ministries,2794356.0,0.0006098006123772347
Ontario Health,Toronto,438 University Avenue,M5G2K8,Ontario Health,2794356.0,0.0006098006123772347
Boost Child & Youth Advocacy Centre,Toronto,245 Eglinton Avenue East,M4P3B7,Boost Child & Youth Advocacy Centre,2794356.0,0.0006098006123772347
Med-Health Laboratories Ltd.,Toronto,1315 Finch Avenue West,M3J2G6,Med,2794356.0,0.0006098006123772347
SMH Kidney Care Center,Toronto,45 Overlea Boulevard,M4H1C3,SMH Kidney Care Center,2794356.0,0.0006098006123772347
St. Michael's Hospital - St. Lawrence Health Centre,Toronto,140 The Esplanade,M5A4P5,St. Michael's Hospital,2794356.0,0.0006098006123772347
St. Michael's Hospital Health Centre at 410,Toronto,95 Homewood Avenue,M4Y1J4,St. Michael's Hospital Health Centre at 410,2794356.0,0.0006098006123772347
Eglinton Diagnostic Laboratories Limited,Toronto,4040 Finch Avenue East,M1S4V5,Eglinton Diagnostic Laboratories Limited,2794356.0,0.0006098006123772347
Breakaway Community Services,Toronto,21 Strickland Avenue,M6K3E6,Breakaway Community Services,2794356.0,0.0006098006123772347
"Governing Council of the Salvation Army in Canada, The",Toronto,1645 Warden Avenue,M1R5B3,"Governing Council of the Salvation Army in Canada, The",2794356.0,0.0006098006123772347
"Neighbourhood Group Community Services, The",Toronto,260 Augusta Avenue,M5T2L9,"Neighbourhood Group Community Services, The",2794356.0,0.0006098006123772347
"Street Haven at the Crossroads, The",Toronto,87 Pembroke Street,M5A2N9,"Street Haven at the Crossroads, The",2794356.0,0.0006098006123772347
Transition House Incorporated,Toronto,162 Madison Avenue,M5R2S6,Transition House Incorporated,2794356.0,0.0006098006123772347
University Health Network,Toronto,399 Bathurst Street,M5T2S8,University Health Network,2794356.0,0.0006098006123772347
COSTI Immigrant Services,Toronto,1710 Dufferin Street,M6E3P2,COSTI Immigrant Services,2794356.0,0.0006098006123772347
Renascent,Toronto,356 Dundas Street West,M5T1G5,Renascent,2794356.0,0.0006098006123772347
