Facility_Name,ENGLISH_NA,COMMUNITY,ADDRESS_LI,POSTAL_COD,Latitude,Longitude,"Population, 2021",Facilities_Per_Capita,address,point,latitude,longitude
(Don Mills) Insight Diagnostic Imaging,(Don Mills) Insight Diagnostic Imaging,Toronto,658 Danforth Avenue,M4J5B9,-8832603.04067621,5415948.41763492,2794356.0,0.0006098006123772347,"658 Danforth Avenue, Toronto, Ontario, Canada",POINT (-79.3445961 43.67912712857143),43.67912712857143,-79.3445961
1 Clinic Rx Pharmacy,1 Clinic Rx Pharmacy,Toronto,16 Yonge Street,M5E2A3,-8836112.66592219,5410399.84501014,2794356.0,0.0006098006123772347,"16 Yonge Street, Toronto, Ontario, Canada",POINT (-79.3766356 43.6433817),43.6433817,-79.3766356
123 Edward Street Diagnostic Imaging Ltd.,123 Edward Street Diagnostic Imaging Ltd.,Toronto,123 Edward Street,M5G1E2,-8837299.35395795,5412305.061021,2794356.0,0.0006098006123772347,"123 Edward Street, Toronto, Ontario, Canada",POINT (-79.3870028 43.6556316),43.6556316,-79.3870028
147 Elder Street Inc.,147 Elder Street Inc.,Toronto,147 Elder Street,M3H5G9,-8844791.40059121,5428822.00890411,2794356.0,0.0006098006123772347,"147 Elder Street, Toronto, Ontario, Canada",POINT (-79.454186 43.7626531),43.7626531,-79.454186
2,2-Spirited People of the 1st Nations,Toronto,145 Front Street East,M5A1E3,-8835355.29263463,5411408.85794949,2794356.0,0.0006098006123772347,"145 Front Street East, Toronto, Ontario, Canada",POINT (-79.3692853 43.6499575),43.6499575,-79.3692853
2387755 Ontario Inc.,2387755 Ontario Inc.,Toronto,1466 Bathurst Street,M5R3S3,-8840808.14430775,5416475.49500364,2794356.0,0.0006098006123772347,"1466 Bathurst Street, Toronto, Ontario, Canada",POINT (-79.4011346 43.6400792),43.6400792,-79.4011346
2649470 Ontario Inc.,2649470 Ontario Inc.,Toronto,520 Ellesmere Road,M1R0B1,-8827113.58715452,5428843.77316422,2794356.0,0.0006098006123772347,"520 Ellesmere Road, Toronto, Ontario, Canada",POINT (-79.29532089035447 43.763073899999995),43.763073899999995,-79.29532089035447
3m Lawrence Pharmacy,3m Lawrence Pharmacy,Toronto,3077 Bathurst Street,M6A1Z9,-8842057.53861267,5422204.68032009,2794356.0,0.0006098006123772347,"3077 Bathurst Street, Toronto, Ontario, Canada",POINT (-79.4296418 43.719957),43.719957,-79.4296418
9,9-Eleven Drug Mart,Toronto,6018 Yonge Street,M2M3V9,-8840809.09052342,5432851.15300894,2794356.0,0.0006098006123772347,"6018 Yonge Street, Toronto, Ontario, Canada",POINT (-79.41801923333333 43.789054766666666),43.789054766666666,-79.41801923333333
99 Pharmacy,99 Pharmacy,Toronto,436 Dundas Street West,M5T1G6,-8838291.3887321,5412001.48076529,2794356.0,0.0006098006123772347,"436 Dundas Street West, Toronto, Ontario, Canada",POINT (-79.39578766666668 43.653510000000004),43.653510000000004,-79.39578766666668
A,A-Way Express Courier Service,Toronto,2168 Danforth Avenue,M4C1K3,-8828823.19849827,5417076.49411394,2794356.0,0.0006098006123772347,"2168 Danforth Avenue, Toronto, Ontario, Canada",POINT (-79.31052224999999 43.686327612499994),43.686327612499994,-79.31052224999999
A & W Pharmacy,A & W Pharmacy,Toronto,250 Alton Towers Circle,M1V3Z4,-8825126.90159818,5438477.68346675,2794356.0,0.0006098006123772347,"250 Alton Towers Circle, Toronto, Ontario, Canada",POINT (-79.2767503 43.8251669),43.8251669,-79.2767503
A Better Way Retirement Home Corp.,A Better Way Retirement Home Corp.,Toronto,22 Purpledusk Trail,M1E4C7,-8817349.38726272,5432022.77004189,2794356.0,0.0006098006123772347,"22 Purpledusk Trail, Toronto, Ontario, Canada",POINT (-79.20760108784314 43.783637),43.783637,-79.20760108784314
A&j Pharmacy,A&j Pharmacy,Toronto,2020 McNicoll Avenue,M1V0B5,-8827786.16838594,5436485.43318683,2794356.0,0.0006098006123772347,"2020 McNicoll Avenue, Toronto, Ontario, Canada",POINT (-79.3017592 43.8123108),43.8123108,-79.3017592
A&w Pharmacy,A&w Pharmacy,Toronto,325 Bamburgh Circle,M1W3Y1,-8830279.61366021,5436763.99523658,2794356.0,0.0006098006123772347,"325 Bamburgh Circle, Toronto, Ontario, Canada",POINT (-79.3241031 43.8143939),43.8143939,-79.3241031
"AIDS Bereavement & Resiliency Program of Ontario, c/o Fife House","AIDS Bereavement & Resiliency Program of Ontario, c/o Fife House",Toronto,490 Sherbourne Street,M4X1K9,-8836016.4079585,5414146.65037891,2794356.0,0.0006098006123772347,"490 Sherbourne Street, Toronto, Ontario, Canada",POINT (-79.3753007614192 43.6676261),43.6676261,-79.3753007614192
AIDS Committee of Toronto,AIDS Committee of Toronto,Toronto,543 Yonge Street,M4Y1Y5,-8836991.6446215,5413643.63487358,2794356.0,0.0006098006123772347,"543 Yonge Street, Toronto, Ontario, Canada",POINT (-79.38398535568851 43.66446395),43.66446395,-79.38398535568851
Able Allergy Services,Able Allergy Services,Toronto,32 Berwick Avenue,M5P1H1,-8838629.67753267,5419762.41078256,2794356.0,0.0006098006123772347,"32 Berwick Avenue, Toronto, Ontario, Canada",POINT (-79.3991677 43.7038744),43.7038744,-79.3991677
Access Alliance Multicultural Health and Community Services,Access Alliance Multicultural Health and Community Services,Toronto,340 College Street,M5T3A9,-8839036.19404915,5412576.61617256,2794356.0,0.0006098006123772347,"340 College Street, Toronto, Ontario, Canada",POINT (-79.4030485 43.6575765),43.6575765,-79.4030485
Access Apartments for Physically Disabled Adults in Toronto,Access Apartments for Physically Disabled Adults in Toronto,Toronto,75 Dufflaw Road,M6A2W4,-8845710.10921678,5421970.65449792,2794356.0,0.0006098006123772347,"75 Dufflaw Road, Toronto, Ontario, Canada",POINT (-79.463199 43.7186577),43.7186577,-79.463199
Across Boundaries: An Ethnocultural Mental Health Centre,Across Boundaries: An Ethnocultural Mental Health Centre,Toronto,51 Clarkson Avenue,M6E2T5,-8845768.12893539,5418667.70967896,2794356.0,0.0006098006123772347,"51 Clarkson Avenue, Toronto, Ontario, Canada",POINT (-79.4625421 43.6969946),43.6969946,-79.4625421
Action Pharmacy,Action Pharmacy,Toronto,2425 Bloor Street West,M6S4W4,-8848080.89154416,5411330.16547067,2794356.0,0.0006098006123772347,"2425 Bloor Street West, Toronto, Ontario, Canada",POINT (-79.4833685 43.6493879),43.6493879,-79.4833685
Action Positive VIH/SIDA,Action Positive VIH/SIDA,Toronto,543 Yonge Street,M4Y1Y5,-8836991.6446215,5413643.63487358,2794356.0,0.0006098006123772347,"543 Yonge Street, Toronto, Ontario, Canada",POINT (-79.38398535568851 43.66446395),43.66446395,-79.38398535568851
Adelaide Pharmacy,Adelaide Pharmacy,Toronto,339 Adelaide Street East,M5A4V1,-8835288.61225965,5411740.9275908,2794356.0,0.0006098006123772347,"339 Adelaide Street East, Toronto, Ontario, Canada",POINT (-79.368623 43.652046),43.652046,-79.368623
Adeline's Lodge,Adeline's Lodge,Toronto,379 Lake Promenade,M8W1C1,-8854202.01638441,5401836.41594613,2794356.0,0.0006098006123772347,"379 Lake Promenade, Toronto, Ontario, Canada",POINT (-79.53870198 43.58771844),43.58771844,-79.53870198
Advance Pharmacy Inc,Advance Pharmacy Inc,Toronto,Steeles Avenue East,M1V4S5,-8835422.05093326,5435937.51262095,2794356.0,0.0006098006123772347,"Steeles Avenue East, Toronto, Ontario, Canada",POINT (-79.2982825 43.8257167),43.8257167,-79.2982825
Advent Forestview Retirement Residence,Advent Forestview Retirement Residence,Toronto,537 Finch Avenue West,M2R0A8,-8843746.95660079,5429956.54712425,2794356.0,0.0006098006123772347,"537 Finch Avenue West, Toronto, Ontario, Canada",POINT (-79.4445616781496 43.770250950000005),43.770250950000005,-79.4445616781496
"African and Caribbean Council on HIV/AIDS in Ontario, c/o Black Coalition for AIDS Prevention","African and Caribbean Council on HIV/AIDS in Ontario, c/o Black Coalition for AIDS Prevention",Toronto,20 Victoria Street,M5C2N8,-8836222.08184969,5411435.56585221,2794356.0,0.0006098006123772347,"20 Victoria Street, Toronto, Ontario, Canada",POINT (-79.37717389428485 43.650046950000004),43.650046950000004,-79.37717389428485
Africans in Partnership Against AIDS,Africans in Partnership Against AIDS,Toronto,526 Richmond Street East,M5A1R3,-8834821.07039831,5412155.49291691,2794356.0,0.0006098006123772347,"526 Richmond Street East, Toronto, Ontario, Canada",POINT (-79.3645236 43.6545686),43.6545686,-79.3645236
Agape Pharmacy,Agape Pharmacy,Toronto,10 Mallard Road,M3B0A7,-8832921.04706556,5426563.8144994,2794356.0,0.0006098006123772347,"10 Mallard Road, Toronto, Ontario, Canada",POINT (-79.34912421855324 43.7477305),43.7477305,-79.34912421855324
Agincourt Allergy Cen 2002 Ltd,Agincourt Allergy Cen 2002 Ltd,Toronto,5 Fairview Mall Drive,M2J2Z1,-8832965.12958391,5431238.71050575,2794356.0,0.0006098006123772347,"5 Fairview Mall Drive, Toronto, Ontario, Canada",POINT (-79.348514 43.779025),43.779025,-79.348514
Agincourt Drug Mart,Agincourt Drug Mart,Toronto,2020 Brimley Road,M1S4R7,-8824110.02031367,5432538.73893898,2794356.0,0.0006098006123772347,"2020 Brimley Road, Toronto, Ontario, Canada",POINT (-79.2683771 43.7873843),43.7873843,-79.2683771
Agincourt Health Pharmacy,Agincourt Health Pharmacy,Toronto,4023 Sheppard Avenue East,M1S1S7,-8826180.79661336,5431974.90923038,2794356.0,0.0006098006123772347,"4023 Sheppard Avenue East, Toronto, Ontario, Canada",POINT (-79.2868633 43.783442),43.783442,-79.2868633
Agincourt Pharmacy,Agincourt Pharmacy,Toronto,4245 Sheppard Avenue East,M1S1T6,-8825040.98521518,5432296.15502092,2794356.0,0.0006098006123772347,"4245 Sheppard Avenue East, Toronto, Ontario, Canada",POINT (-79.2766411 43.7854809),43.7854809,-79.2766411
Agincourt Pulmonary Services,Agincourt Pulmonary Services,Toronto,240 Alton Towers Circle,M1V4P3,-8825131.3989056,5438600.04355531,2794356.0,0.0006098006123772347,"240 Alton Towers Circle, Toronto, Ontario, Canada",POINT (-79.27619935336841 43.82668355),43.82668355,-79.27619935336841
